name,price,old_price
ذرة قودي حبة ذهبية علب 196 جرام,4.75,
زيتون كوبوليفا اسود بلا نوى150 جرام,8.95,
زيتون حلواني اخضر بالزيت 650 جرام,31.95,
فول حدائق كاليفورنيا خلطة لبنانية 450 جرام,6.95,
فول حدائق كاليفورنيا مع فلفل 450 جرام,6.95,
فول حدائق كاليفورنيا خلطة مصرية 450 جرام,6.95,
فول لونا امريكي علب 450 جرام,3.75,
فاصوليا لونا بيضاء 400 جرام,4.25,
زيتون اليسا اسود علب 100 جرام,5.50,6.95
زيتون كوبوليفا اسود علب 100جرام,6.75,
زيتون كوبوليفا اسود شرائح 114 جرام,8.50,
حمص حدائق كاليفورنيا طحينة 400 جرام,5.25,
تونة قودي قليل الدسم بالماء 95جرام,5.95,
تونة قودي قليل الدسم بالماء 195جرام,8.95,
زيتون اليسا اسود بلا عجو 150 جرام,9.95,
تونة هالي خفيف 200جرام,4.75,
تونة هالي ابيض 200جرام,4.95,
بزاليا هالي خضراء علب 400 جرام,1.75,
زيتون كوبوليفا اسود #160 5 كيلو,148.00,
زيتون كوبوليفا اسود شرائح 900جرام,32.95,
زيتون كوبوليفا اسود #320 5كيلو,122.00,
مرتديلا سنيورة رومي زيتون 500 جرام,19.95,
صدور دجاج التنمية بدون عظم450ج,17.95,23.50
كعك حفلة سويتز 12حبه,6.75,8.00
دجاج التنمية طازج طبق 1000جرام,20.95,
دجاج التنمية طازج طبق 1200جرام,22.25,
دجاج التنمية طازج طبق 1100جرام,21.75,
زبادي الصافي 170جرام,2.00,
زبادي الصافي قليل الدسم 170جرام,2.00,
زبادي زادي فراولة 100جرام,1.50,
زبادي نادك طازج 1كيلو,8.00,
بودي نادك حلى فانيليا 75جرام,1.25,
لبنة بينار طازجة سطل 2.75كيلو,65.75,81.95
لبن المراعي طازج كرتون 1لتر,6.00,
لبن المراعي طازج بلاستيك قليل الدسم 2لتر,11.00,
لبن المراعي بلاستيك قليل الدسم 180مل,2.00,
برجر امريكانا دجاج اكياس 15 حبة,26.95,
كفتة ارز امريكانا مصرية 900 جرام,29.95,
مفروم دجاج الوطنية رول 400 جرام,8.95,
بامية مونتانا زيرو مجمدة 400 جرام,6.50,9.95
نقانق دجاج دو حار 400 جرام,6.95,8.50
ذرة مونتانا سكرية حب 400 جرام,5.50,
برجر هرفي دجاج بالبقسماط 450 جرام,16.95,
برجر هرفي دجاج بالبقسماط 672 جرام,24.50,
برجر هرفي دجاج بالبقسماط 1120ج,38.95,
رقائق السنبلة سبرنج رول بر160 جرام,6.95,
كبة شامي لحم بقر ميني 450 جرام,21.95,
مفروم دجاج امريكانا 400جرام,8.50,
مفروم غنم امريكانا 400جرام,9.50,
مفروم غنم الهبرة 400جرام,7.50,
مفروم بقر سعودي 400جرام,3.95,4.95
مفروم بقر شهية مربع 400جرام,10.25,
روبيان سيبلو جامبو 500جرام,115.00,
برجر امريكانا دجاج 24حبة 1200جرام,29.95,38.95
حلوى بقر لاكسوري المداح 800جرام,42.95,
بسكويت شاي اولكر 175جرام,2.50,
بسكويت ديمة مشكل 3×684جرام,26.50,
بسكويت ديمة ملت بالحليب12×57جرام,12.95,
كليجا بلفيتا بالهيل 72ج,2.00,
بسكويت اوريو كريمة شوكولاتة44جرام,1.50,
بسكويت اوريو حليب وشوكولاتة44جرام,1.50,
بسكويت اولكر سندوتش #77-4 25جرام,0.75,
بسكويت بورقات مالح خضار110جرام,5.25,7.95
بسكويت بورقات مالح جبن 110جرام,5.25,7.95
بسكويت ديمة بالتمر 150جرام,2.50,
كيك يمامة غندور برتقال 12حبة,8.95,
كيك يمامة غندور فانيليا 12حبة,8.95,
شابورة امريكانا احمر 375جرام,7.25,
معمول الكرامة تمر 500جرام,16.25,
بسكويت ريتز مالح كراكرز 400جرام,9.95,
بسكويت ريتز مالح كراكرز 200جرام,4.00,
بسكويت تيشوب نخالة 260جرام,2.95,
مزيل ع دوف خيار وشاي الاخضر50مل,22.95,
لوشن نيفيا لشد البشرة 400مل,49.95,
لوشن نيفيا بالمسك جذاب 400مل,15.95,33.95
لوشن بالمرز لشد الجلد 250 مل,32.95,
مزيل ع ليدي سبيد حساس 45جرام,12.50,24.95
مزيل عرق مام رصاصي رول 50مل,16.95,
لوشن جرجنز مقاوم شيخوخة 400مل,32.95,
شامبو هيمالايا جاف مع بلسم400مل,13.95,
شامبو شولدرز كثافة جديد 400مل,23.95,
شامبو شولدرز فريش جديد400مل,23.95,
شامبو صانسيلك قوة ولمعان 200مل,12.95,
شامبو صانسيلك قوة ولمعان 700مل,14.95,32.95
شامبو صانسيلك قوةولمعان 400مل,19.95,
شامبو صانسيلك نعومةوحيوية400مل,19.95,
شامبو صانسيلك ضد تساقط 400مل,19.95,
شامبو صانسيلك ناعم وانسيابي 700مل,14.95,32.95
شامبو هيربال باي باي جفاف400مل,20.25,
شامبو هيربال كثير كثيف 400مل,20.25,
طعام اطفال سيريلاك عسل 400 جرام,31.95,
حليب اطفال رونالاك #1 400جرام,41.95,
حليب نيدو بالعسل 3سنوات 1800ج,117.00,
حليب نيدو بريبايو مقوى 1800ج,127.95,
حليب أطفال روناجرو #3 فانيليا 400جرام,41.95,
طعام اطفال سيريلاك فواكة 1كيلو,76.95,
طعام اطفال سيريلاك أرز 400 جرام,29.50,
طعام اطفال بلفيت بالعسل 300جرام,27.50,
طعام اطفال سيريلاك قمح 1000جرام,69.95,
حليب نيدو بالعسل 3سنوات 400جرام,31.95,
زيت جونسون اطفال 200مل,29.95,
جلي جونسون اطفال معطر 250مل,18.95,
زيت جونسون اطفال 300مل,40.95,
زيت جونسون اطفال 500مل,52.95,
بودرة نونو اطفال 100جرام,9.95,13.95
شامبو نونو اطفال 500مل,18.95,24.95
حليب نيدو بريبايو مقوي 400جرام,34.95,
حليب اطفال رونالاك 2 فانيليا 400 جرام,41.95,
قصدير كلوب 45سم,7.50,
قصدير سانيتا 75قدم مربع,16.95,
قصدير سانيتا 200قدم مربع,40.95,
قصدير سانيتا 300 ملم,43.95,
"قصدير سانيتا 37,5قدم",10.95,12.95
قصدير سانيتا 450مم,65.95,
قصدير شراع 2×45×600سم,17.25,
رول تغليف سانيتا 3×30م×300مم,20.95,
رول تغليف سانيتا 45سم,42.95,
رول تغليف سانيتا 30سم,32.95,
رول تغليف سانيتا 20متر×450مم,7.25,
اكياس شراع حفظ اطعمة #10,7.50,
اكياس بلاستي نت حفظ اطعمة #12,22.95,27.95
اكياس بلاستي نت حفظ اطعمة #10,14.95,18.75
اكياس بلاستي نت حفظ اطعمة #8,10.95,14.00
اكياس شراع حفظ اطعمة #12,7.50,
اكياس نابكو حفظ اطعمة #14,10.95,
اكياس نابكو حفظ اطعمة #16,13.95,
صانع طعام كينود 220 فولت,289.95,
ميكرويف كليك وان 20ل #4306,299.95,
خلاط نيكاي مع مطحنة #بي اي2900,119.00,
خلاط نيكاي مع مطحنة#1713بي ان,147.95,
مضرب كينوود بيض 330,115.00,
قطاعة خضار اي تي سي#ام اكس 4سي,65.00,
قطاعة خضار كينوود 550,119.00,
قطاعة خضار كينوود .5ل #580,184.95,
سخان سندوتش كينوود بشواية 360,139.00,
صانع طعام جيباس  4ه1 2031,139.00,
